No.,Player,team_name,player_id
5,Kevon Looney,Warriors,5KevonLooneyWarriors
3,Jordan Poole,Warriors,3Jordan PooleWarriors
22,Andrew Wiggins,Warriors,22Andrew WigginsWarriors
95,Juan Toscano-Anderson,Warriors,95Juan Toscano-AndersonWarriors
0,Gary Payton II,Warriors,0Gary Payton IIWarriors
8,Nemanja Bjelica,Warriors,8Nemanja BjelicaWarriors
00,Jonathan Kuminga,Warriors,00Jonathan KumingaWarriors
30,Stephen Curry,Warriors,30Stephen CurryWarriors
32,Otto Porter Jr.,Warriors,32Otto Porter Jr.Warriors
1,Damion Lee,Warriors,1Damion LeeWarriors
4,Moses Moody,Warriors,4Moses MoodyWarriors
23,Draymond Green,Warriors,23Draymond GreenWarriors
2,Chris Chiozza,Warriors,2Chris ChiozzaWarriors
11,Klay Thompson,Warriors,11Klay ThompsonWarriors
9,Andre Iguodala,Warriors,9Andre IguodalaWarriors
12,Quinndary Weatherspoon,Warriors,12Quinndary WeatherspoonWarriors
33,James Wiseman,Warriors,33James WisemanWarriors